station_name,station_latitude,station_longitude,station_no,station_id,itemDate,itemValue,itemValue2,accumRange,ts_id,oldtime,id
Glenbreck,55.48202196,-3.477754728,368490,37940,2025-05-24 01:00:00,10.8,10.8,20,66210010,1,135
Glenmavis,55.89359141,-4.013210328,327238,37640,2025-05-24 04:00:00,11.2,11.2,20,66151010,1,151
Glenmore Lodge No 2,57.16421784,-3.677609728,115225,35544,2025-05-24 02:00:00,6.6,6.6,10,65977010,1,160
Glenmuick No2,56.95161175,-3.141253355,367371,37922,2025-05-24 04:00:00,5,5,5,66207010,1,217
Glenquey,56.20739317,-3.642080305,464636,38054,2025-05-24 01:00:00,6.2,6.2,10,66220010,1,65
Gogarbank,55.92834002,-3.342742573,15196,37064,2025-05-26 09:00:00,9,9,10,66163010,0,57
Gordon Arms,55.51137227,-3.096406906,14984,36790,2025-05-24 01:00:00,5.2,5.2,10,66085010,1,165
Haddington STW,55.96050923,-2.75022457,15226,37116,2025-05-26 09:00:00,8.8,8.8,10,66115010,0,224
Halkirk,58.5154974,-3.493004244,234231,37318,2025-05-24 01:00:00,1.2,1.2,5,66127010,1,125
Harelaw,55.91651494,-3.086776845,335614,37676,2025-05-26 09:00:00,5.4,5.4,10,66159010,0,33
Harperrig,55.83652095,-3.435270947,15200,37072,2025-05-26 09:00:00,12.4,12.4,20,66110010,0,210
Hatton (Perth),56.52513594,-2.648539891,335640,37692,2025-05-24 01:00:00,4.8,4.8,5,66176010,1,38
Hatton No 2,57.42757524,-1.909678484,115227,35552,2025-05-26 10:00:00,5.8,5.8,10,65978010,0,77
Hazelwood Cottage,56.26715284,-5.494662553,115582,35824,2025-05-24 03:00:00,32.8,32.8,40,66024010,1,115
High Corrie (Gartmore),56.1262023,-4.446294544,15166,37040,2025-05-26 09:00:00,37.8,37.8,40,66104010,0,211
Hunterston Terminal,55.74447583,-4.86116797,469625,38062,2025-05-24 01:00:00,11.6,11.6,20,66222010,1,166
Hydro Gardens Moffat,55.34214596,-3.452988353,115584,35828,2025-05-24 02:00:00,11.2,11.2,20,66025010,1,103
Inchvuilt,57.40830735,-4.957620811,115354,35660,2025-05-24 04:00:00,6.8,6.8,10,65998010,1,250
Ingleston Farm,54.81170556,-4.166358356,115585,35832,2025-05-24 04:00:00,13.2,13.2,20,66026010,1,16
